BeerID,Style,OG,ABV,IBU,Color,BoilTime,BoilGravity,Efficiency,BrewMethod
61947,American IPA,1.071,7.64,96.89,5.82,90,1.055,77.81,All Grain
61948,American Pale Ale,1.06,6.42,43.16,7.24,60,1.04,35.0,extract
61953,American IPA,1.084,8.98,113.36,8.66,60,1.053,70.0,BIAB
61956,American IPA,1.074,7.19,112.56,7.24,60,1.058,75.0,All Grain
61959,American IPA,1.061,5.5,133.71,4.79,60,1.083,70.0,extract
61961,American IPA,1.06,6.41,55.65,3.88,60,1.121,35.0,extract
61966,American IPA,1.0590000000000002,5.96,61.37,6.06,60,1.057,75.0,All Grain
61969,American Pale Ale,1.052,5.48,47.15,5.47,60,1.042,70.0,All Grain
61970,American IPA,1.061,6.51,54.14,7.04,60,1.102,35.0,extract
61971,American Pale Ale,1.05,5.28,51.28,9.2,60,1.099,35.0,extract
61972,American Pale Ale,1.069,7.56,38.09,40.98,60,1.046,68.0,BIAB
61977,American IPA,1.0659999999999998,6.71,72.65,12.23,60,1.057,70.0,All Grain
61978,American IPA,1.067,6.3,53.64,14.85,60,1.057,75.0,All Grain
61980,American Pale Ale,1.065,7.14,48.54,4.35,60,1.046,73.0,BIAB
61981,American IPA,1.0979999999999999,9.56,81.9,7.64,60,1.085,75.0,All Grain
61989,American IPA,1.065,6.13,41.96,5.8,60,1.053,70.0,All Grain
61990,American IPA,1.06,6.52,77.06,7.37,60,1.051,75.0,All Grain
61992,American Pale Ale,1.058,5.68,56.21,8.1,60,1.047,75.0,All Grain
61995,American IPA,1.058,6.27,52.51,7.18,60,1.045,72.0,All Grain
61996,American Pale Ale,1.056,5.51,33.96,13.51,60,1.0490000000000002,63.0,All Grain
61999,American IPA,1.0390000000000001,3.92,149.4,5.59,60,1.0979999999999999,35.0,extract
62006,American IPA,1.07,7.44,82.53,6.79,60,1.058,75.0,All Grain
62007,American Pale Ale,1.052,5.09,37.45,9.04,60,1.046,35.0,Partial Mash
62012,American Pale Ale,1.061,5.91,30.33,6.49,60,1.051,70.0,All Grain
62016,American IPA,1.0659999999999998,6.61,68.79,9.35,60,1.058,80.0,BIAB
62019,American Pale Ale,1.047,4.36,86.31,3.34,30,1.033,70.0,All Grain
62033,American IPA,1.069,6.8,52.18,7.99,60,1.055,70.0,All Grain
62038,American Pale Ale,1.0590000000000002,6.49,27.31,5.49,70,1.056,85.0,All Grain
62040,American Pale Ale,1.055,5.51,43.28,5.34,60,1.037,75.0,All Grain
62041,American IPA,1.069,6.82,76.0,4.38,60,1.051,75.0,All Grain
62046,American IPA,1.064,6.45,64.32,7.05,60,1.047,70.0,All Grain
62047,American Pale Ale,1.06,5.87,45.27,8.13,20,1.044,68.4,BIAB
62051,American IPA,1.053,5.68,93.39,13.6,60,1.07,70.0,All Grain
62053,American Pale Ale,1.045,4.78,33.25,6.71,60,1.037,70.0,All Grain
62054,American Pale Ale,1.054,5.22,49.12,6.31,60,1.042,65.0,All Grain
62057,American IPA,1.055,5.57,60.72,4.66,60,1.055,70.0,All Grain
62063,American Pale Ale,1.055,5.51,39.95,6.79,60,1.052,75.0,All Grain
62067,American Pale Ale,1.06,5.73,40.96,5.84,60,1.041,70.0,All Grain
62069,American Pale Ale,1.055,5.99,37.83,7.45,60,1.048,70.0,All Grain
62075,American Pale Ale,1.0490000000000002,4.5,42.03,7.99,60,1.038,57.0,All Grain
62078,American IPA,1.062,6.24,89.53,7.05,60,1.037,80.0,All Grain
62084,American IPA,1.07,7.07,68.78,5.94,60,1.057,75.0,BIAB
62092,American IPA,1.084,7.87,82.69,5.91,60,1.061,73.0,BIAB
62094,American IPA,1.065,7.14,66.26,12.75,60,1.054,75.0,All Grain
62096,American IPA,1.06,6.55,49.59,12.66,60,1.052,70.0,All Grain
62097,American IPA,1.072,6.91,60.41,4.17,60,1.06,82.0,All Grain
62101,American Pale Ale,1.062,6.05,43.68,4.47,30,1.046,65.0,BIAB
62102,American IPA,1.064,6.68,120.48,4.22,60,1.074,35.0,extract
62108,American IPA,1.1059999999999999,10.41,68.55,8.79,90,1.091,85.0,All Grain
62111,American IPA,1.057,5.55,68.56,5.56,60,1.046,75.0,All Grain
62112,American IPA,1.06,5.91,77.07,3.7,90,1.044,67.0,All Grain
62117,American IPA,1.0590000000000002,6.44,47.75,6.4,75,1.042,70.0,All Grain
62119,American Pale Ale,1.053,5.82,44.86,7.11,30,1.2209999999999999,50.0,extract
62127,American Pale Ale,1.05,4.4,29.21,5.56,60,1.043,83.0,All Grain
62133,American IPA,1.057,5.95,72.72,7.79,60,1.0490000000000002,70.0,All Grain
62144,American IPA,1.056,6.02,66.78,8.12,60,1.045,74.0,BIAB
62148,American Pale Ale,1.052,5.4,40.61,5.29,60,1.0390000000000001,70.0,BIAB
62150,American Pale Ale,1.045,4.76,63.19,4.57,60,1.075,35.0,extract
62154,American IPA,1.0590000000000002,5.56,51.45,5.19,60,1.0490000000000002,63.0,All Grain
62155,American IPA,1.071,7.34,62.69,4.48,60,1.055,78.0,All Grain
62158,American IPA,1.043,4.56,46.0,5.81,60,1.032,75.0,All Grain
62162,American IPA,1.07,7.72,69.43,5.93,60,1.05,75.0,All Grain
62163,American IPA,1.062,6.26,107.27,5.62,60,1.048,75.0,BIAB
62165,American Pale Ale,1.06,5.29,51.86,4.58,60,1.082,35.0,extract
62168,American IPA,1.061,6.54,46.62,9.06,60,1.048,73.0,All Grain
62170,American IPA,1.0759999999999998,8.2,89.86,5.69,60,1.054,72.0,All Grain
62178,American IPA,1.062,6.65,44.4,10.6,60,1.0490000000000002,65.0,All Grain
62194,American IPA,1.068,6.96,71.36,6.51,60,1.061,75.0,All Grain
62196,American IPA,1.056,5.76,62.97,4.87,60,1.0490000000000002,70.0,All Grain
62198,American IPA,1.072,6.79,65.64,9.75,60,1.115,70.0,Partial Mash
62200,American IPA,1.057,5.57,67.41,16.49,60,1.038,60.0,All Grain
62202,American Pale Ale,1.054,5.88,38.31,10.0,60,1.047,65.0,BIAB
62203,American Pale Ale,1.057,6.15,55.11,5.06,60,1.042,70.0,All Grain
62204,American Pale Ale,1.048,5.07,33.8,5.56,60,1.043,75.0,All Grain
62208,American Pale Ale,1.052,5.42,45.43,7.85,60,1.035,80.0,All Grain
62213,American Pale Ale,1.05,5.31,40.59,9.56,60,1.043,70.0,All Grain
62219,American Pale Ale,1.06,6.5,43.91,8.07,60,1.043,78.0,All Grain
62224,American Pale Ale,1.044,4.33,54.61,7.16,60,1.053,70.0,BIAB
62226,American Pale Ale,1.047,4.52,42.82,9.8,60,1.087,40.0,Partial Mash
62229,American Pale Ale,1.045,4.55,48.99,5.38,60,1.034,70.0,BIAB
62237,American IPA,1.02,2.13,29.13,10.56,60,1.015,35.0,All Grain
62240,American Pale Ale,1.052,5.17,30.44,7.69,60,1.038,78.0,All Grain
62243,American Pale Ale,1.042,4.45,22.47,5.34,40,1.035,65.0,BIAB
62247,American IPA,1.056,5.73,43.02,7.49,90,1.04,53.0,All Grain
62249,American Pale Ale,1.046,4.18,45.55,6.73,60,1.038,77.0,BIAB
62253,American IPA,1.077,7.47,55.43,5.93,60,1.062,70.0,All Grain
62257,American Pale Ale,1.065,6.59,81.53,5.01,60,1.055,62.0,All Grain
62269,American IPA,1.064,6.66,50.12,5.26,90,1.048,78.0,All Grain
62275,American IPA,1.071,7.31,105.99,8.17,120,1.046,68.0,All Grain
62279,American IPA,1.061,6.15,66.37,11.63,60,1.045,70.0,All Grain
62282,American Pale Ale,1.052,5.27,58.22,7.01,60,1.0390000000000001,55.0,All Grain
62283,American IPA,1.074,7.3,114.53,6.92,60,1.054,70.0,All Grain
62290,American IPA,1.074,8.3,214.23,6.26,60,1.055,81.0,All Grain
62317,American IPA,1.061,6.09,61.83,6.05,60,1.047,66.0,All Grain
62318,American Pale Ale,1.041,4.3,37.12,6.46,60,1.032,75.0,BIAB
62319,American IPA,1.067,6.59,6.35,6.08,60,1.056,70.0,All Grain
62322,American Pale Ale,1.054,5.41,31.76,7.59,60,1.044,58.0,All Grain
62324,American IPA,1.043,4.6,34.39,5.1,60,1.032,70.0,All Grain
62325,American IPA,1.067,6.11,140.84,8.0,60,1.0590000000000002,75.0,BIAB
62329,American IPA,1.048,4.84,40.99,4.9,90,1.044,75.0,All Grain
62332,American Pale Ale,1.058,5.78,44.13,7.07,60,1.042,57.0,All Grain
62340,American IPA,1.058,5.73,40.04,7.04,90,1.042,80.0,BIAB
62348,American Pale Ale,1.052,5.22,45.09,5.03,60,1.042,85.0,All Grain
62349,American IPA,1.064,6.2,48.16,5.87,60,1.045,65.0,BIAB
62356,American IPA,1.052,5.69,62.31,7.05,60,1.042,73.0,All Grain
62358,American IPA,1.073,7.63,57.08,6.56,60,1.0590000000000002,68.0,All Grain
62360,American Pale Ale,1.057,5.44,34.63,3.77,60,1.044,70.0,All Grain
62365,American Pale Ale,1.055,5.99,41.3,9.36,60,1.043,75.0,BIAB
62367,American IPA,1.067,6.9,52.45,4.23,60,1.052,70.0,BIAB
62372,American IPA,1.06,5.77,48.19,4.56,60,1.044,81.0,All Grain
62377,American IPA,1.05,5.01,30.15,5.61,90,1.045,73.0,All Grain
62378,American IPA,1.094,9.67,0.0,7.36,60,1.085,75.0,All Grain
62379,American IPA,1.056,6.13,41.13,5.56,60,1.05,72.0,All Grain
62380,American IPA,1.064,6.56,81.38,6.82,60,1.052,90.0,All Grain
62384,American Pale Ale,1.055,5.93,37.78,5.4,60,1.04,75.0,BIAB
62387,American Pale Ale,1.054,5.27,55.2,7.44,60,1.0979999999999999,35.0,extract
62388,American Pale Ale,1.057,5.79,105.85,6.31,60,1.042,63.0,All Grain
62390,American Pale Ale,1.05,5.23,51.55,8.62,60,1.045,80.0,All Grain
62394,American IPA,1.0659999999999998,6.71,108.54,10.59,60,1.07,35.0,Partial Mash
62399,American IPA,1.072,7.06,104.4,10.41,60,1.01,35.0,extract
62401,American IPA,1.062,6.77,52.6,6.26,75,1.044,70.0,All Grain
62403,American Pale Ale,1.045,4.9,33.76,5.71,30,1.0390000000000001,60.0,BIAB
62405,American IPA,1.068,6.61,88.19,7.01,90,1.051,70.0,All Grain
62408,American IPA,1.056,5.91,68.77,6.61,60,1.079,60.0,BIAB
62409,American IPA,1.058,6.36,94.33,7.49,60,1.0490000000000002,60.0,All Grain
62413,American IPA,1.071,6.72,70.4,5.96,60,1.052,75.0,All Grain
62414,American Pale Ale,1.046,4.75,49.06,5.35,60,1.0390000000000001,75.0,All Grain
62419,American IPA,1.05,5.01,37.9,8.66,60,1.038,35.0,extract
